title;summary;url
Альдейярфосс;"Альдейярфосс (исл. Aldeyjarfoss) — водопад, расположенный на севере Исландии в регионе Нордюрланд-Эйстра в северной части дороги около зандра Спренгисандур в пределах Исландского плато.
Наиболее интересной особенностью водопада является контраст между черными базальтовыми колоннами и белыми водами. В этом отношении он похож на водопад Свартифосс.
Воды реки Скьяульвандафльоут падают здесь с высоты 20 м. Окружающий базальт принадлежит лавовому полю, называемому Фрамбруни (исл. Frambruni) или Сюдюраурхрёйн (исл. Suðurárhraun). Слово hraun в переводе с исландского означает лава.";https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D1%8C%D0%B4%D0%B5%D0%B9%D1%8F%D1%80%D1%84%D0%BE%D1%81%D1%81
Андриановские водопады;"Андриановские водопады — каскад водопадов в южной части полуострова Камчатка.
Находится к западу от города Петропавловска-Камчатского до которого 194 км по прямой.
Расположен на центральном истоке стекающей с восточного склона Срединного хребта р. Средней Андриановки. Река образует каскад из 5-6 крупных и множества мелких водопадов с общим падением около 100—125 м.
Популярный туристический объект.";https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%B8%D0%B0%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B5_%D0%B2%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4%D1%8B
Анхель;А́нхель, Керепакупаи-Меру (исп. Kerepakupai Meru, исп. Salto Ángel, на пемонском языке — Kerepakupai vena, что значит «Водопад глубочайшего места») — самый высокий водопад в мире, общая высота 979 метров (по другим данным 1054 метра), высота непрерывного свободного падения воды 807 метров. Находится на реке Кереп в венесуэльском штате Боливар.;https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%85%D0%B5%D0%BB%D1%8C
Водопад Арсеньева;"Водопад Арсеньева (Призрак, Восьмиметровый) — водопад в Тернейском районе Приморского края Российской Федерации. Находится на р. Правая Амгу, в её среднем течении. Водопад Арсеньева — один из самых полноводных в Приморье. Ширина потока воды в верхней части водопада ок. 3 м. В нижней части струя воды сжимается до 2 м, с грохотом падая в глубокий котёл, белый от пены. Далее, на протяжении нескольких десятков метров, река течёт в каньоне с нависающими стенами. Каньон оканчивается невысоким сливом поперёк всего русла.

Из всех водопадов, которые мне приходилось видеть, Амагинский водопад был самым красивым. Представьте себе узкий коридор, верхние края которого немного загнуты внутрь так, что вода идёт как бы в трубе. В одном месте труба эта обрывается.
Здесь образовался водопад высотой 8 метров. Однако верхние края коридора продолжаются и далее. Из этого можно заключить, что первоначально водопад был ниже по течению, и если бы удалось определить, сколько вода стирает ложе водопада в течение года, то можно было бы сказать, когда он начал свою работу, сколько ему лет и сколько ещё осталось существовать на свете. Порода, сквозь которую вода пробила себе дорогу, — буро-красный глауконитовый песчаник с весьма плотным цементом. Цвет воды в массе изумрудный. При ярком солнечном освещении белая пена с зеленовато-синим цветом воды и с красно-бурыми скалами, по которым разрослись пёстрые лишайники и светло-зелёные мхи, создавала картину чрезвычайно эффектную. Под водопадом вода имеет вращательное движение. В течение многих лет она сточила породу по сторонам и образовала «исполиновый котёл». Я подошёл к краю обрыва, и мне показалось, что от массы падающей воды порой содрогается земля.

Водопад Арсеньева — популярный туристический объект, но посещается он реже, чем вдп. Большой Амгинский. Если последний находится в 1 км от ближайшей автодороги, то до вдп. Арсеньева нужно пройти 7 — 8 км по таёжной тропе через многочисленные броды.";https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4_%D0%90%D1%80%D1%81%D0%B5%D0%BD%D1%8C%D0%B5%D0%B2%D0%B0
Ассинский зеркальный водопад;"Ассинский зеркальный водопад (Абзановский водопад) — водопад в Предуралье, у реки Инзер, на скале Плачущий Камень. Административно находится в Архангельском районе Башкортостана. Памятник природы с 1965 года (Постановление СМ БАССР от 17.08.1965 № 465). Высота около 6 метров.
Туристическая и научная достопримечательность

Плачущий Камень сложен карбонатными породами, обильно порос мхом, есть деревья. Водопад находится с южной его стороны, которая круто спускается к Инзеру. С обратной, северной части, гора полога и покрыта степной растительностью.
Рядом расположены деревни Абзаново (по другую сторону скалы) и Асы (к западу от горы).";https://ru.wikipedia.org/wiki/%D0%90%D1%81%D1%81%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%B7%D0%B5%D1%80%D0%BA%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%B2%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4
Атыш (водопад);"Атыш (от башк. Атыш — бьющий, стреляющий) — водопад на Южном Урале, в Белорецком районе Республики Башкортостан. Водопад — это выход из грота Атыш на поверхность подземной реки, которая также называется Атыш. Сам грот (он же Атышская пещера) находится в горе Яш-Кузь-таш.
Внутри Атышского грота вода бьёт из наклонного отверстия мощной восходящей струёй шириной 6 м и высотой 4,5 м, что и дало название водопаду. У основания скалы за столетия выработались два водобойных котла диаметром 20 м, глубиной 7—10 м. Из этого озера река Атыш течёт дальше в Лемезу, откуда до недавнего времени заходил в озеро на нерест таймень.
Возраст водопада очень большой. Гора, где находится водопад Атыш, сложена известняками возрастом 570 миллионов лет. Воды речушек Агуй и Атыш проточили в верхней части горы известняк и прошли вниз на южный склон горы, составляющий коренной берег речной долины реки Лемеза.
В настоящее время водопад Атыш — одно из наиболее популярных мест ценителей башкирских природных красот, несмотря на экологическую обстановку вокруг водопада.
К водопаду пробита дорога с берега реки Лемезы, что позволяет подъехать к нему на автомобиле. Рядом располагается Заповедная пещера.";https://ru.wikipedia.org/wiki/%D0%90%D1%82%D1%8B%D1%88_(%D0%B2%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4)
Атыш-Сумган;Атыш-Сумган, Атышсумган — подземный водопад в Белорецком районе Башкортостана. Туристическая достопримечательность на Южном Урале. Высота — 6 м.;https://ru.wikipedia.org/wiki/%D0%90%D1%82%D1%8B%D1%88-%D0%A1%D1%83%D0%BC%D0%B3%D0%B0%D0%BD
Ауграбис;"Аугра́бис (Aughrabies) — водопад на реке Оранжевой, в Северо-Капской провинции ЮАР. Высота 190 м (непрерывного падения — 148 м, по другим данным — 146 м). Расположен в 500 км от устья. Потоки воды устремляются в скалистое ущелье, глубиной до 200 м и длиной 18 км.
Название Aughrabies водопаду дал финн Хендрик Якоб Викар (Hendrik Jakob Wikar), который переправлялся через реку в 1778 году. Оно происходит от слова из койсанских языков Aukoerebis, которое означает «место большого шума».
В 1954 году город Апингтон выступил с инициативой о создании на месте водопада национального парка. 5 августа 1966 года было объявлено о создании национального парка «Ауграбис».";https://ru.wikipedia.org/wiki/%D0%90%D1%83%D0%B3%D1%80%D0%B0%D0%B1%D0%B8%D1%81
Аулафосс;"Аулафосс (исл. Álafoss) — водопад на реке Вармау в Исландии, в регионе Хёвюдборгарсвайдид.
Около водопада с 1896 года находилась фабрика по переработке шерсти того же названия. Она начала работать, когда местный фермер привёз оборудование для обработки шерсти с использованием энергии водопада. Около водопада находится студия «Sundlaugin», которая принадлежит группе Sigur Rós.
Во время Второй мировой войны здесь были построены бараки для британских солдат. Аулафосс играл главную роль в основании и приросте города Мосфедльсбайр.";https://ru.wikipedia.org/wiki/%D0%90%D1%83%D0%BB%D0%B0%D1%84%D0%BE%D1%81%D1%81
Афу-Аау;Афу-Аау (самоан.  Afu Aau ), также известный как Олемо (самоан. Olemoe) — водопад на юго-востоке острова Савайи в Самоа. Высота водопада — 15-20 метров. Наряду с близлежащим курганом  Пулемелей является одной из двух главных достопримечательностей Савайи.;https://ru.wikipedia.org/wiki/%D0%90%D1%84%D1%83-%D0%90%D0%B0%D1%83
Афурджа (водопад);Афурджа (азерб. Afurca şəlaləsi) — самый высокий водопад Азербайджана. Расположен в бассейне реки Вельвелечай, у Тенгинского ущелья, близ села Афурджа Губинского района. Падает с горы Тенги. Высота водопада около 50 м. Водопад Афурджа является природным памятником Азербайджана и охраняется государством.;https://ru.wikipedia.org/wiki/%D0%90%D1%84%D1%83%D1%80%D0%B4%D0%B6%D0%B0_(%D0%B2%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4)
Ачипсинские водопады;"Ачипсинские водопады — водопады у истоков реки Ачипсе на территории Адлерского района города Сочи. Расположены на хребте Ачишхо на высоте 1750 м над уровнем моря, на территории Сочинского национального парка (для посещения необходимо наличие пропуска) в 7 км к северо-западу от посёлка Красная Поляна.
Ачипсинские водопады берут свое начало с уступов в верховьях реки Ачипсе и спадают по склонам в виде двух красивых и мощных потоков. По мере протекания вниз эти потоки постепенно сближаются, в итоге образуя один мощный поток горной воды (один из потоков является истоком реки Ачипсе, второй поток является её притоком).
Возле водопадов находятся несколько палаточных кемпингов. Добраться до водопадов возможно несколькими направлениями, главные маршруты начинаются из Красной Поляны и от Хмелевских озёр. От Красной Поляны (от крайней верхней улицы) до водопадов дойти возможно за 3-4 часа. Через водопады также проходит один из основных маршрутов восхождения на хребет Ачишхо и гору Ачишхо-Главная.
Самым удачным временем посещения водопадов является период с 15 мая по 15 октября, так как в этот период нет снежного покрова и погода относительно стабильная.";https://ru.wikipedia.org/wiki/%D0%90%D1%87%D0%B8%D0%BF%D1%81%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B5_%D0%B2%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4%D1%8B
Аюкский водопад;Аюкский водопад — водопад на реке Бурлаченкова щель, левом притоке реки Чепси, в 10 км от села Фанагорийского Горячеключевского района.;https://ru.wikipedia.org/wiki/%D0%90%D1%8E%D0%BA%D1%81%D0%BA%D0%B8%D0%B9_%D0%B2%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4
Баатара;"Баатара — водопад, расположенный в районе Джебейль (мухафазе Горный Ливан в  Ливане). Высота падения воды составляет 225 метров.
Водопад Баатара находится на Ливанском хребте, недалеко от города Таннорин.
Был открыт миру в 1952 году, спелеологом Генри Койфу.
Своим вторым названием «Пещера трёх мостов» он обязан тому, что при падении в долину поток проходит через три естественных моста, каждый из которых нависает над другим.";https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%B0%D1%82%D0%B0%D1%80%D0%B0
Багровецкий водопад;"Багрове́цкий водопа́д (укр. Багрове́цький водоспа́д) — каскад водопадов в Украинских Карпатах (массив Горганы). Расположен на территории Надворнянского района Ивано-Франковской области, на юго-запад от города Яремче. Высота водопада — 10 метров (по другим данным — 1,5 м).
Водопад расположен на небольшом горном ручье Багровец (правый приток р. Жонка), который течёт по северному склону хребта Яворник. Вода падает тремя уступами, которые образовались в месте выхода на поверхность мощных флишевых пластов горизонтального залегания.
Водопад труднодоступный и малоизвестен.";https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%B3%D1%80%D0%BE%D0%B2%D0%B5%D1%86%D0%BA%D0%B8%D0%B9_%D0%B2%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4
Балайфоссен;"Балайфоссен (норв. Balåifossen) — второй по высоте водопад Европы, находящийся в юго-западной Норвегии. Расположен в регионе Хордаланн в 140 км к востоку от Бергена.
Образован рекой Балай. Высота Балайфоссена составляет 850 метров (по другим данным — 765 метров). Водопад состоит из трёх каскадов, высота наибольшего из них — 452 метра. Средняя ширина Балайфоссена составляет около 8 метров. Расход воды — 1 м³ в секунду. Балайфоссен питается в основном за счёт тающих снегов, поэтому летом или осенью может пересыхать.";https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%BB%D0%B0%D0%B9%D1%84%D0%BE%D1%81%D1%81%D0%B5%D0%BD
Басасеачи (водопад);"Басасеачи (исп. Basaseachi) — водопад, расположенный на реке Басасеачи, который является вторым по величине водопадом в Мексике. Находится в национальном парке Басасеачи в Медном Каньоне, на северо-западе Мексики.
Водопад Басасеачи находится в горах Сьерра-Мадре, в муниципалитете Окампо.
Водопад создается двумя потоками Арройо дель Дуразно и Арройо-де-Басасеачи, которые сливаются в высоких горах и падают вниз со стены каньона.";https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%81%D0%B0%D1%81%D0%B5%D0%B0%D1%87%D0%B8_(%D0%B2%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4)
Безымянный водопад;"Безымя́нный — водопад на южном склоне горы Аибги, в верховьях реки Безымянки, в 4 км к северу от села Аибга. Перепад трёх ступеней водопада составляет 75 м, что делает Безымянный одним из высочайших в Краснодарском крае России. Подстилающие горные породы сложены песчаниками, аргиллитами, глинистыми сланцами.Территория водопада включена в состав ООПТ Водопад Безымянный 26 января 1988 года.

Описание из книги «Путеводитель по Кубани» А. Самойленко:
«Водопад Безымянный.
В расщелинах южного склона горы Аибги из снежников и ключей рождается речка Безымянка. Прыгая с камня на камень, пробиваясь через лесные чащи, она подбегает к обрыву и срывается трёхступенчатым водопадом с высоты около 75 м.
Струя падающей воды пропилила в уступе широкую выемку, обнажив разноцветные пласты песчаников, аргиллитов, глинистых сланцев мелового периода. Красные слои чередуются с серыми, розоватыми, синеватыми. В нижней части утеса возле водопада пласты изогнуты в виде крутого свода.
С уступов скал, цепляясь за камни, свисают плети плюща колхидского. Местами они сплетаются настолько густо, что образуют как бы гигантские тёмно-зелёные покрывала с длинными кистями. Отлогие склоны покрыты пышными зарослями папоротника страусопера. На дне ущелья стоят одиночные деревья ольхи, клёна явора, ясеня. А вверху, над водопадом, сомкнулся нетронутый широколиственный лес.
На фоне этой роскошной растительной зелени и многоцветья горных пород сверкает, брызжется и шумит белопенный красавец водопад. Под ним волнуется наполненный до краев студёной водой округлый бассейн. Отсюда речка, бурля и пенясь, устремляется вниз через завалы громадных валунов. Пробежав километра два, она отдаёт свою воду реке Псоу, которая протекает по границе России с Грузией и впадает в Чёрное море.
Водопад Безымянный нуждается в охране, так как это самый высочайший из известных нам водопадов Северо-Западного Кавказа».

Описание Лозовой С. П. из книги «Памятники природы Краснодарского края»:
«Водопад Аибгинский (Безымянный) находится в 4 километрах к северу от села Аибга, в лесу. Это один из самых крупных водопадов в Краснодарском крае.
Потоки воды устремляются вниз с высоты 75 метров тремя ступенями. Струя падающей воды пробила в уступе широкую выемку, обнажив разноцветные слои песчаников, аргиллитов, глинистых сланцев, которые, перепиваясь на солнце, придают воде различные оттенки. Они чередуются, образуя красные, серые, розовые, синие полосы.
У подножия водопада растут ольха, ясень, клён, скалы вокруг него покрыты колхидским плющом. Он шумит, бурлит, пенится, сверкает на фоне многоцветья горных пород и роскошной растительности Вокруг него порхают стрекозы и бабочки.
Водопад обрушивается в округлый водобойный котел, из которого вытекает бурливая река Безымянная».

Водопад Безымянный находится рядом с абхазской границей, поэтому для его посещения требуется специальное разрешение или постоянная прописка в Сочи";https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%B7%D1%8B%D0%BC%D1%8F%D0%BD%D0%BD%D1%8B%D0%B9_%D0%B2%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4
Белые водопады;"Белые водопады — холодные минеральные источники-водопады в южной части полуострова Камчатка.
Находятся на территории Усть-Большерецкого района Камчатского края России.
Расположены на внешнем склоне центрального кратера Кошелевского вулкана. Под напором из трещин, выбиваясь невысокими фонтанчиками, вода из источников сливается в два ручья и падает с двадцатиметрового обрыва, давая начало многоводному правому истоку Левой Паужетки. Западный ручей падает с отвесного обрыва, восточный стекает по крутому ступенчатому руслу. У самого выхода из земли прозрачная вода источников стремительно белеет, приобретая вид сильно разбавленного молока. Брызги разлетаются по сторонам, покрывая черные скалы белым как снег налётом. Белым налетом с коричневатым оттенком покрыто и дно бурной речки, но постепенно ниже по течению эта окраска исчезает.
Осадок этот состоит из 60 % окиси алюминия, 20 % соединений железа и других веществ. На глубине, под большим давлением, эти соединения находятся в растворенном состоянии, но при выходе на поверхность давление резко падает, растворимость понижается, и окись алюминия выпадает в виде белого осадка. В свою очередь соединения железа, растворённые в воде, окисляются кислородом воздуха и позже, выпадая в виде бурого осадка, подкрашивают белый осадок в коричневатый тон.
Температура воды в местах выхода равна 4,2 °C.
Белые водопады являются памятником природы.";https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8B%D0%B5_%D0%B2%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4%D1%8B
Беневские водопады;"Беневские или Еломовские водопады — водопады в Приморском крае.
Расположены водопады в нескольких километрах от сёл Беневское и Кишинёвка Лазовского района на правом притоке реки Киевка — Еломовском ключе, берущем своё начало на склонах гор Белой и Лысой Партизанского хребта горной системы Сихоте-Алинь. Являются каскадом нескольких водопадов. Основной водопад (Звезда Приморья) имеет высоту более 20 м. Всего насчитывается более 10 водопадов высотой от 1 до 5 м. Зимой водопады замерзают, образуя ледяную стену, по которой течёт вода ключа, увеличивая наледь.
Беневские водопады — посещаемое туристами место. Первое своё название каскад получил от наименования села Беневское, второе — в честь Еломовского ключа. Участок реки Киевка ниже водопадов популярен среди любителей сплава.";https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BD%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B5_%D0%B2%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4%D1%8B
Блади-Фолс;"Блади-Фолс — каскад порогов на реке Коппермайн в западной части Территориального парка Куглук/Блади-Фолс, на северо-западе Канады (Нунавут). 
Водопад известен по событию 1771 года, когда произошла резня у Блади-Фоллс, а также как место убийства двух священников, совершённого в 1913 году Улоксаком и Синнисиаком — охотниками из народности медных инуитов.
Ближайшая деревня, Куглуктук, расположена в 15,8 километра от водопада.

В течение многих веков в этих районах проживали инуиты из подгруппы Коглуктогмиут.
В 1978 году северо-западная часть Территориального парка Куглук/Блади-Фолс получила статус Национального исторического места Канады, так как там находятся археологические зоны участков охоты и рыбной ловли, принадлежавших представителям доколумбовых цивилизаций (культуры Пре-Дорсет, Туле) и инуитам; возраст останков датируется 1700 годом до нашей эры.";https://ru.wikipedia.org/wiki/%D0%91%D0%BB%D0%B0%D0%B4%D0%B8-%D0%A4%D0%BE%D0%BB%D1%81
Бойома;"Бойо́ма (до 1983 года — Стэнли) — ряд водопадов на реке Луалабе в Демократической Республике Конго, между городами Убунду и Кисангани. Состоят из семи порогов, разделённых плёсами, на расстоянии около 150 км; общая высота падения 40 м. Расход воды составляет около 17 000 м³/с, и по этому показателю водопады входят в Книгу рекордов Гиннесса. Первоначально были названы в честь первооткрывателя Генри Стэнли, в 1983 году переименованы в Бойома.";https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%B9%D0%BE%D0%BC%D0%B0
Большой Адегойский водопад;Большой Адегойский водопад — водопад на безымянном ручье в урочище Ивановская Щель. Назван по реке Адегой, протекающей неподалёку. Высота 11 метров, с каскадом из нескольких водопадов выше и ниже Большого Адегойского — 40 метров.;https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%BE%D0%B9_%D0%90%D0%B4%D0%B5%D0%B3%D0%BE%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_%D0%B2%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4
